Review
"Charting masih pinjam punya tradingview. Indikator banyak yang ga ada. Paling parah, datanya sering terlambat. Aplikasi ini juga sering error. Screener sering tidak bisa diubah dan tidak berfungsi. Paling parah, CS-nya minta screenrecording berkali-kali, minta screenshot berkali-kali, tetap tidak bisa kasih solusi apapun. Kalau belum pakai, mending pakai aplikasi lain."
"Kelebihan : Chat Support cepat dijawab dan dilayani (bahkan pertanyaan receh sekalipun). Kekurangan : Sering error ketika jam market seperti: Running trade dan Orderbook tidak berjalan normal, semua harus refresh secara manual (sering terjadi apabila suatu emiten terdapat transaksi yang sangat besar); Serta update tiba-tiba di jam market yang menyebabkan tidak bisa bertransaksi secara optimal."
"setelah update aplikasi kenapa bagian ""portfolio"" selalu loading trs ya? dan butuh lama untuk merefresh, saya sudah memcoba mengubah jaringan dari data dan wifi semua sama saja, karena ini saya jadi mengalami kerugian, tolong segera di perbaiki."
"Aplikasi nya bagus, fitur lengkap, tampilannya juga keren, mudah dipahami & digunakan 👍. saya kasih bintang 4 dulu, kalau di stockbit bisa ada Saham AS, Crypto, & Emas baru saya kasih bintang 5. Kan enak kalau 1 aplikasi bisa banyak instrumen investasi & cukup satu rekening bank tidak perlu banyak aplikasi dan banyak rekening bank 🙂"
"oke banget. fitur2nya saya suka. hanya untuk trading cepat menggunakan maksimum cash dan maks trading limit tolong disederhanakan dengan sekali click pada pilihan di depan layar orderbooking. agar cepat memilih, tanpa harus membuka opsi2 lain yg memakan waktu. semangatt"
"Tambahkan fitur untuk menu produk ETF, Kripto dan Saham USA di satu aplikasi. Agar lebih mudah dan lengkap. Ini pasti akan menjadi sesuatu yang lebih baik dibandingkan broker kompetitor lainnya. Dan memberikan efek jangka panjang. Tolong tambahkan fitur tersebut dan segera perbarui versi aplikasinya. Terimakasih."
"Secara Keseluruhan Bagus, ini Sekuritas Andalan saya. Tambah dong Fitur ON/ OFF untuk traksaksi sahamnya jadi lebih mudah untuk dikontrol sesuai keinginan member, karena fitur ini udah ada di beberapa Sekuritas lain. Thanks"
"Stockbit bagus, puas banget pakenya. Saranku sih ditambah kasih statistik performa portfolio ya. Jadi kita bisa lihat ringkasan performa portfolio kayak selama periode tertentu naik berapa turun berapa, naik karena deposit kah, naik karena capital gain kah, dll. Kalau list agak bingung bacanya hehe"
kecewa karena pembatasan jumlah transaksi nego tiap harinya dan diproses berdasarkan urutan email yg masuk. sehingga karena banyaknya permintaan transaksi nego. permohonan transaksi nego punyaku tidak juga diproses bahkan sudah mengirimkan email 3 hari sebelum transaksi.. ditambah dengan harus mengirim ulang berkas dengan harus mengedit kembali tanggalnya.. sehingga transaksi saya selalu berada paling akhir. dan transaksi nego tidak kunjung diproses
"Pengalaman order nego ribet, udah beberapa kali revisi csnya tak kunjung reply email hampir 3 minggu, alhasil habis waktu buat revisi tgl doang, gd solusi dikasi saran estimasi ato apa kek.."
"no rekomendasi. pelayanan cs buruk, lambat, slow respon. begitulah. lebih baik cari sekuritas yg cepet, mudah, dari pada pke aplikasi ini bikin naik darah. verifikasi data berbulan bulan kaga kelar2. blm lgi yg lain. ini bru permulaan sdh dikenalkan dn mengedepankan pelayanan yg sgt buruk dn lambat"
"verifikasi gagal karena stockbit menyangka gw bukan orang asli pemegang ktp..paraaaah...gw harus awet muda ya,ga tua2....mau hapus akun aja ribet...nyesel instal dan daftar ni aplikasi...paraaah.....baru kali ini gw daftar seribet ini....ga rekomendasi..ngeri2 ditengah jalan ujug2 diban dengan alasan bukan orang asli....gila,ngasih data ktp,no rek, dan pastinya deposit juga kalo pake data orang lain ya susah....ngapain coba? be eran aneh..ga rekkmendasi banget."
"Fitur tambah rekening pencairannya tlg disederhanakan lgi dong min, saya sdh coba berkali-kali tp gagal mulu saat verifikasi wajah, saya ada keterbatasan di penglihatan jdi kesulitan membaca instruksi saat verifikasi wajah berlangsung. Selebihnya the best buat stockbit"
